SF,Pattern,query_number,Run,visual_name,p50
10,Direct_Query,7,1,Slicer,520.8885669708252
10,Direct_Query,7,2,Slicer,550.3780841827393
10,Direct_Query,7,3,Slicer,568.4645175933838
10,Direct_Query,8,1,Slicer,592.3230648040771
10,Direct_Query,8,2,Slicer,612.5710010528564
10,Direct_Query,8,3,Slicer,620.2437877655029
10,Direct_Query,9,1,Catalog Sales Quantity YoY,4255.406618118286
10,Direct_Query,9,2,Catalog Sales Quantity YoY,4185.0950717926025
10,Direct_Query,9,3,Catalog Sales Quantity YoY,6646.499156951904
10,Direct_Query,10,1,Store Profit % Split by Category,1766.129493713379
10,Direct_Query,10,2,Store Profit % Split by Category,1514.2042636871338
10,Direct_Query,10,3,Store Profit % Split by Category,2114.4866943359375
10,Direct_Query,11,1,Slicer,46.04935646057129
10,Direct_Query,11,2,Slicer,44.04735565185547
10,Direct_Query,11,3,Slicer,57.49368667602539
10,Direct_Query,12,1,Catalog Revenue Ranked by Promotion,1461.1032009124756
10,Direct_Query,12,2,Catalog Revenue Ranked by Promotion,1453.0556201934814
10,Direct_Query,12,3,Catalog Revenue Ranked by Promotion,1695.9033012390137
10,Direct_Query,13,1,Card,1667.0687198638916
10,Direct_Query,13,2,Card,1652.0841121673584
10,Direct_Query,13,3,Card,1732.7396869659424
10,Direct_Query,14,1,Store Revenue Time Analysis,6845.481395721436
10,Direct_Query,14,2,Store Revenue Time Analysis,5780.042886734009
10,Direct_Query,14,3,Store Revenue Time Analysis,10306.59818649292
10,Direct_Query,15,1,Slicer,561.701774597168
10,Direct_Query,15,2,Slicer,552.3715019226074
10,Direct_Query,15,3,Slicer,721.6525077819824
10,Direct_Query,16,1,Slicer,523.6079692840576
10,Direct_Query,16,2,Slicer,540.5702590942383
10,Direct_Query,16,3,Slicer,614.6814823150635
10,Direct_Query,17,1,Slicer,580.8150768280029
10,Direct_Query,17,2,Slicer,559.9164962768555
10,Direct_Query,17,3,Slicer,630.096435546875
10,Direct_Query,18,1,Slicer,650.7220268249512
10,Direct_Query,18,2,Slicer,570.9648132324219
